1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
2	1	7	8	6	5	3	4	10	9	15	16	14	13	11	12
3	4	1	2	7	8	5	6	11	12	9	10	15	16	13	14
4	3	5	6	8	7	1	2	12	11	13	14	16	15	9	10
5	6	4	3	1	2	8	7	13	14	12	11	9	10	16	15
6	5	8	7	2	1	4	3	14	13	16	15	10	9	12	11
7	8	2	1	3	4	6	5	15	16	10	9	11	12	14	13
8	7	6	5	4	3	2	1	16	15	14	13	12	11	10	9
9	10	11	12	13	14	15	16	1	2	3	4	5	6	7	8
10	9	15	16	14	13	11	12	2	1	7	8	6	5	3	4
11	12	9	10	15	16	13	14	3	4	1	2	7	8	5	6
12	11	13	14	16	15	9	10	4	3	5	6	8	7	1	2
13	14	12	11	9	10	16	15	5	6	4	3	1	2	8	7
14	13	16	15	10	9	12	11	6	5	8	7	2	1	4	3
15	16	10	9	11	12	14	13	7	8	2	1	3	4	6	5
16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
