1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2	1	11	12	10	9	8	7	6	5	3	4	14	13	23	24	22	21	20	19	18	17	15	16
3	4	1	2	11	12	10	9	8	7	5	6	15	16	13	14	23	24	22	21	20	19	17	18
4	3	5	6	7	8	9	10	12	11	1	2	16	15	17	18	19	20	21	22	24	23	13	14
5	6	4	3	1	2	11	12	10	9	7	8	17	18	16	15	13	14	23	24	22	21	19	20
6	5	7	8	9	10	12	11	2	1	4	3	18	17	19	20	21	22	24	23	14	13	16	15
7	8	6	5	4	3	1	2	11	12	9	10	19	20	18	17	16	15	13	14	23	24	21	22
8	7	9	10	12	11	2	1	3	4	6	5	20	19	21	22	24	23	14	13	15	16	18	17
9	10	8	7	6	5	4	3	1	2	12	11	21	22	20	19	18	17	16	15	13	14	24	23
10	9	12	11	2	1	3	4	5	6	8	7	22	21	24	23	14	13	15	16	17	18	20	19
11	12	2	1	3	4	5	6	7	8	10	9	23	24	14	13	15	16	17	18	19	20	22	21
12	11	10	9	8	7	6	5	4	3	2	1	24	23	22	21	20	19	18	17	16	15	14	13
13	14	15	16	17	18	19	20	21	22	23	24	1	2	3	4	5	6	7	8	9	10	11	12
14	13	23	24	22	21	20	19	18	17	15	16	2	1	11	12	10	9	8	7	6	5	3	4
15	16	13	14	23	24	22	21	20	19	17	18	3	4	1	2	11	12	10	9	8	7	5	6
16	15	17	18	19	20	21	22	24	23	13	14	4	3	5	6	7	8	9	10	12	11	1	2
17	18	16	15	13	14	23	24	22	21	19	20	5	6	4	3	1	2	11	12	10	9	7	8
18	17	19	20	21	22	24	23	14	13	16	15	6	5	7	8	9	10	12	11	2	1	4	3
19	20	18	17	16	15	13	14	23	24	21	22	7	8	6	5	4	3	1	2	11	12	9	10
20	19	21	22	24	23	14	13	15	16	18	17	8	7	9	10	12	11	2	1	3	4	6	5
21	22	20	19	18	17	16	15	13	14	24	23	9	10	8	7	6	5	4	3	1	2	12	11
22	21	24	23	14	13	15	16	17	18	20	19	10	9	12	11	2	1	3	4	5	6	8	7
23	24	14	13	15	16	17	18	19	20	22	21	11	12	2	1	3	4	5	6	7	8	10	9
24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
