1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
2	1	5	6	3	4	8	7	11	12	9	10	31	32	33	34	35	36	25	26	27	28	29	30	19	20	21	22	23	24	13	14	15	16	17	18	39	40	37	38	42	41	45	46	43	44	48	47
3	4	1	2	6	5	19	20	21	22	23	24	15	16	13	14	18	17	7	8	9	10	11	12	26	25	29	30	27	28	43	44	45	46	47	48	38	37	41	42	39	40	31	32	33	34	35	36
4	3	6	5	1	2	20	19	23	24	21	22	43	44	45	46	47	48	26	25	29	30	27	28	7	8	9	10	11	12	15	16	13	14	18	17	41	42	38	37	40	39	33	34	31	32	36	35
5	6	2	1	4	3	25	26	27	28	29	30	33	34	31	32	36	35	8	7	11	12	9	10	20	19	23	24	21	22	45	46	43	44	48	47	40	39	42	41	37	38	13	14	15	16	17	18
6	5	4	3	2	1	26	25	29	30	27	28	45	46	43	44	48	47	20	19	23	24	21	22	8	7	11	12	9	10	33	34	31	32	36	35	42	41	40	39	38	37	15	16	13	14	18	17
7	8	9	10	11	12	1	2	3	4	5	6	19	20	21	22	23	24	13	14	15	16	17	18	31	32	33	34	35	36	25	26	27	28	29	30	43	44	45	46	47	48	37	38	39	40	41	42
8	7	11	12	9	10	2	1	5	6	3	4	25	26	27	28	29	30	31	32	33	34	35	36	13	14	15	16	17	18	19	20	21	22	23	24	45	46	43	44	48	47	39	40	37	38	42	41
9	10	7	8	12	11	13	14	15	16	17	18	21	22	19	20	24	23	1	2	3	4	5	6	32	31	35	36	33	34	37	38	39	40	41	42	44	43	47	48	45	46	25	26	27	28	29	30
10	9	12	11	7	8	14	13	17	18	15	16	37	38	39	40	41	42	32	31	35	36	33	34	1	2	3	4	5	6	21	22	19	20	24	23	47	48	44	43	46	45	27	28	25	26	30	29
11	12	8	7	10	9	31	32	33	34	35	36	27	28	25	26	30	29	2	1	5	6	3	4	14	13	17	18	15	16	39	40	37	38	42	41	46	45	48	47	43	44	19	20	21	22	23	24
12	11	10	9	8	7	32	31	35	36	33	34	39	40	37	38	42	41	14	13	17	18	15	16	2	1	5	6	3	4	27	28	25	26	30	29	48	47	46	45	44	43	21	22	19	20	24	23
13	14	15	16	17	18	9	10	7	8	12	11	1	2	3	4	5	6	21	22	19	20	24	23	37	38	39	40	41	42	32	31	35	36	33	34	25	26	27	28	29	30	44	43	47	48	45	46
14	13	17	18	15	16	10	9	12	11	7	8	32	31	35	36	33	34	37	38	39	40	41	42	21	22	19	20	24	23	1	2	3	4	5	6	27	28	25	26	30	29	47	48	44	43	46	45
15	16	13	14	18	17	21	22	19	20	24	23	3	4	1	2	6	5	9	10	7	8	12	11	38	37	41	42	39	40	44	43	47	48	45	46	26	25	29	30	27	28	32	31	35	36	33	34
16	15	18	17	13	14	22	21	24	23	19	20	44	43	47	48	45	46	38	37	41	42	39	40	9	10	7	8	12	11	3	4	1	2	6	5	29	30	26	25	28	27	35	36	32	31	34	33
17	18	14	13	16	15	37	38	39	40	41	42	35	36	32	31	34	33	10	9	12	11	7	8	22	21	24	23	19	20	47	48	44	43	46	45	28	27	30	29	25	26	1	2	3	4	5	6
18	17	16	15	14	13	38	37	41	42	39	40	47	48	44	43	46	45	22	21	24	23	19	20	10	9	12	11	7	8	35	36	32	31	34	33	30	29	28	27	26	25	3	4	1	2	6	5
19	20	21	22	23	24	3	4	1	2	6	5	7	8	9	10	11	12	15	16	13	14	18	17	43	44	45	46	47	48	26	25	29	30	27	28	31	32	33	34	35	36	38	37	41	42	39	40
20	19	23	24	21	22	4	3	6	5	1	2	26	25	29	30	27	28	43	44	45	46	47	48	15	16	13	14	18	17	7	8	9	10	11	12	33	34	31	32	36	35	41	42	38	37	40	39
21	22	19	20	24	23	15	16	13	14	18	17	9	10	7	8	12	11	3	4	1	2	6	5	44	43	47	48	45	46	38	37	41	42	39	40	32	31	35	36	33	34	26	25	29	30	27	28
22	21	24	23	19	20	16	15	18	17	13	14	38	37	41	42	39	40	44	43	47	48	45	46	3	4	1	2	6	5	9	10	7	8	12	11	35	36	32	31	34	33	29	30	26	25	28	27
23	24	20	19	22	21	43	44	45	46	47	48	29	30	26	25	28	27	4	3	6	5	1	2	16	15	18	17	13	14	41	42	38	37	40	39	34	33	36	35	31	32	7	8	9	10	11	12
24	23	22	21	20	19	44	43	47	48	45	46	41	42	38	37	40	39	16	15	18	17	13	14	4	3	6	5	1	2	29	30	26	25	28	27	36	35	34	33	32	31	9	10	7	8	12	11
25	26	27	28	29	30	5	6	2	1	4	3	8	7	11	12	9	10	33	34	31	32	36	35	45	46	43	44	48	47	20	19	23	24	21	22	13	14	15	16	17	18	40	39	42	41	37	38
26	25	29	30	27	28	6	5	4	3	2	1	20	19	23	24	21	22	45	46	43	44	48	47	33	34	31	32	36	35	8	7	11	12	9	10	15	16	13	14	18	17	42	41	40	39	38	37
27	28	25	26	30	29	33	34	31	32	36	35	11	12	8	7	10	9	5	6	2	1	4	3	46	45	48	47	43	44	40	39	42	41	37	38	14	13	17	18	15	16	20	19	23	24	21	22
28	27	30	29	25	26	34	33	36	35	31	32	40	39	42	41	37	38	46	45	48	47	43	44	5	6	2	1	4	3	11	12	8	7	10	9	17	18	14	13	16	15	23	24	20	19	22	21
29	30	26	25	28	27	45	46	43	44	48	47	23	24	20	19	22	21	6	5	4	3	2	1	34	33	36	35	31	32	42	41	40	39	38	37	16	15	18	17	13	14	8	7	11	12	9	10
30	29	28	27	26	25	46	45	48	47	43	44	42	41	40	39	38	37	34	33	36	35	31	32	6	5	4	3	2	1	23	24	20	19	22	21	18	17	16	15	14	13	11	12	8	7	10	9
31	32	33	34	35	36	11	12	8	7	10	9	2	1	5	6	3	4	27	28	25	26	30	29	39	40	37	38	42	41	14	13	17	18	15	16	19	20	21	22	23	24	46	45	48	47	43	44
32	31	35	36	33	34	12	11	10	9	8	7	14	13	17	18	15	16	39	40	37	38	42	41	27	28	25	26	30	29	2	1	5	6	3	4	21	22	19	20	24	23	48	47	46	45	44	43
33	34	31	32	36	35	27	28	25	26	30	29	5	6	2	1	4	3	11	12	8	7	10	9	40	39	42	41	37	38	46	45	48	47	43	44	20	19	23	24	21	22	14	13	17	18	15	16
34	33	36	35	31	32	28	27	30	29	25	26	46	45	48	47	43	44	40	39	42	41	37	38	11	12	8	7	10	9	5	6	2	1	4	3	23	24	20	19	22	21	17	18	14	13	16	15
35	36	32	31	34	33	39	40	37	38	42	41	17	18	14	13	16	15	12	11	10	9	8	7	28	27	30	29	25	26	48	47	46	45	44	43	22	21	24	23	19	20	2	1	5	6	3	4
36	35	34	33	32	31	40	39	42	41	37	38	48	47	46	45	44	43	28	27	30	29	25	26	12	11	10	9	8	7	17	18	14	13	16	15	24	23	22	21	20	19	5	6	2	1	4	3
37	38	39	40	41	42	17	18	14	13	16	15	10	9	12	11	7	8	35	36	32	31	34	33	47	48	44	43	46	45	22	21	24	23	19	20	1	2	3	4	5	6	28	27	30	29	25	26
38	37	41	42	39	40	18	17	16	15	14	13	22	21	24	23	19	20	47	48	44	43	46	45	35	36	32	31	34	33	10	9	12	11	7	8	3	4	1	2	6	5	30	29	28	27	26	25
39	40	37	38	42	41	35	36	32	31	34	33	12	11	10	9	8	7	17	18	14	13	16	15	48	47	46	45	44	43	28	27	30	29	25	26	2	1	5	6	3	4	22	21	24	23	19	20
40	39	42	41	37	38	36	35	34	33	32	31	28	27	30	29	25	26	48	47	46	45	44	43	17	18	14	13	16	15	12	11	10	9	8	7	5	6	2	1	4	3	24	23	22	21	20	19
41	42	38	37	40	39	47	48	44	43	46	45	24	23	22	21	20	19	18	17	16	15	14	13	36	35	34	33	32	31	30	29	28	27	26	25	4	3	6	5	1	2	10	9	12	11	7	8
42	41	40	39	38	37	48	47	46	45	44	43	30	29	28	27	26	25	36	35	34	33	32	31	18	17	16	15	14	13	24	23	22	21	20	19	6	5	4	3	2	1	12	11	10	9	8	7
43	44	45	46	47	48	23	24	20	19	22	21	4	3	6	5	1	2	29	30	26	25	28	27	41	42	38	37	40	39	16	15	18	17	13	14	7	8	9	10	11	12	34	33	36	35	31	32
44	43	47	48	45	46	24	23	22	21	20	19	16	15	18	17	13	14	41	42	38	37	40	39	29	30	26	25	28	27	4	3	6	5	1	2	9	10	7	8	12	11	36	35	34	33	32	31
45	46	43	44	48	47	29	30	26	25	28	27	6	5	4	3	2	1	23	24	20	19	22	21	42	41	40	39	38	37	34	33	36	35	31	32	8	7	11	12	9	10	16	15	18	17	13	14
46	45	48	47	43	44	30	29	28	27	26	25	34	33	36	35	31	32	42	41	40	39	38	37	23	24	20	19	22	21	6	5	4	3	2	1	11	12	8	7	10	9	18	17	16	15	14	13
47	48	44	43	46	45	41	42	38	37	40	39	18	17	16	15	14	13	24	23	22	21	20	19	30	29	28	27	26	25	36	35	34	33	32	31	10	9	12	11	7	8	4	3	6	5	1	2
48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
