1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2	1	5	6	3	4	13	14	15	16	17	18	7	8	9	10	11	12	21	22	19	20	24	23
3	4	1	2	6	5	9	10	7	8	12	11	19	20	21	22	23	24	13	14	15	16	17	18
4	3	6	5	1	2	19	20	21	22	23	24	9	10	7	8	12	11	15	16	13	14	18	17
5	6	2	1	4	3	15	16	13	14	18	17	21	22	19	20	24	23	7	8	9	10	11	12
6	5	4	3	2	1	21	22	19	20	24	23	15	16	13	14	18	17	9	10	7	8	12	11
7	8	9	10	11	12	1	2	3	4	5	6	14	13	17	18	15	16	20	19	23	24	21	22
8	7	11	12	9	10	14	13	17	18	15	16	1	2	3	4	5	6	23	24	20	19	22	21
9	10	7	8	12	11	3	4	1	2	6	5	20	19	23	24	21	22	14	13	17	18	15	16
10	9	12	11	7	8	20	19	23	24	21	22	3	4	1	2	6	5	17	18	14	13	16	15
11	12	8	7	10	9	17	18	14	13	16	15	23	24	20	19	22	21	1	2	3	4	5	6
12	11	10	9	8	7	23	24	20	19	22	21	17	18	14	13	16	15	3	4	1	2	6	5
13	14	15	16	17	18	2	1	5	6	3	4	8	7	11	12	9	10	22	21	24	23	19	20
14	13	17	18	15	16	8	7	11	12	9	10	2	1	5	6	3	4	24	23	22	21	20	19
15	16	13	14	18	17	5	6	2	1	4	3	22	21	24	23	19	20	8	7	11	12	9	10
16	15	18	17	13	14	22	21	24	23	19	20	5	6	2	1	4	3	11	12	8	7	10	9
17	18	14	13	16	15	11	12	8	7	10	9	24	23	22	21	20	19	2	1	5	6	3	4
18	17	16	15	14	13	24	23	22	21	20	19	11	12	8	7	10	9	5	6	2	1	4	3
19	20	21	22	23	24	4	3	6	5	1	2	10	9	12	11	7	8	16	15	18	17	13	14
20	19	23	24	21	22	10	9	12	11	7	8	4	3	6	5	1	2	18	17	16	15	14	13
21	22	19	20	24	23	6	5	4	3	2	1	16	15	18	17	13	14	10	9	12	11	7	8
22	21	24	23	19	20	16	15	18	17	13	14	6	5	4	3	2	1	12	11	10	9	8	7
23	24	20	19	22	21	12	11	10	9	8	7	18	17	16	15	14	13	4	3	6	5	1	2
24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
